t_delay,reserv_number,run_number
dark,1.0,11.0
dark,1.0,11.0
dark,1.0,11.0
dark,1.0,11.0
dark,1.0,11.0
dark,1.0,11.0
dark,1.0,11.0
dark,1.0,11.0
dark,1.0,11.0
dark,1.0,11.0
dark,1.0,11.0
dark,1.0,11.0
dark,1.0,11.0
dark,1.0,11.0
dark,1.0,11.0
dark,1.0,11.0
dark,1.0,11.0
dark,1.0,11.0
dark,1.0,11.0
dark,1.0,11.0
dark,1.0,11.0
dark,1.0,11.0
dark,1.0,11.0
dark,1.0,11.0
dark,1.0,11.0
dark,1.0,11.0
dark,1.0,11.0
dark,1.0,11.0
dark,1.0,11.0
dark,1.0,11.0
dark,1.0,11.0
dark,1.0,11.0
dark,1.0,11.0
dark,1.0,11.0
dark,1.0,11.0
dark,1.0,11.0
dark,1.0,11.0
dark,1.0,11.0
dark,1.0,11.0
dark,1.0,11.0
dark,1.0,11.0
dark,1.0,11.0
dark,1.0,11.0
dark,1.0,11.0
dark,1.0,11.0
dark,1.0,11.0
dark,1.0,11.0
dark,1.0,11.0
dark,1.0,11.0
dark,1.0,11.0
dark,1.0,11.0
dark,1.0,11.0
dark,1.0,11.0
dark,1.0,11.0
dark,1.0,11.0
dark,1.0,11.0
dark,1.0,11.0
dark,1.0,11.0
dark,1.0,11.0
dark,1.0,11.0
dark,1.0,11.0
dark,1.0,11.0
dark,1.0,11.0
dark,1.0,11.0
dark,1.0,11.0
dark,1.0,11.0
dark,1.0,11.0
dark,1.0,11.0
dark,1.0,11.0
dark,2.0,14.0
dark,2.0,14.0
dark,2.0,14.0
dark,2.0,14.0
dark,2.0,14.0
dark,2.0,14.0
dark,2.0,14.0
dark,2.0,14.0
dark,2.0,14.0
dark,2.0,14.0
dark,2.0,14.0
dark,2.0,15.0
dark,2.0,15.0
dark,2.0,15.0
dark,2.0,15.0
dark,2.0,15.0
dark,2.0,15.0
dark,2.0,16.0
dark,2.0,16.0
dark,2.0,16.0
dark,2.0,17.0
dark,2.0,17.0
dark,2.0,17.0
dark,2.0,17.0
dark,2.0,17.0
dark,2.0,17.0
dark,2.0,17.0
dark,2.0,17.0
dark,2.0,17.0
dark,2.0,17.0
dark,2.0,17.0
dark,2.0,17.0
dark,2.0,17.0
dark,2.0,17.0
dark,2.0,17.0
dark,2.0,17.0
dark,2.0,17.0
dark,2.0,17.0
dark,2.0,17.0
dark,2.0,17.0
dark,2.0,17.0
dark,2.0,17.0
dark,2.0,17.0
dark,2.0,17.0
dark,2.0,17.0
dark,2.0,17.0
dark,2.0,17.0
dark,2.0,17.0
dark,2.0,17.0
dark,3.0,18.0
dark,3.0,18.0
dark,3.0,18.0
dark,3.0,18.0
dark,3.0,18.0
dark,3.0,18.0
dark,3.0,18.0
dark,3.0,18.0
dark,3.0,18.0
dark,3.0,18.0
dark,3.0,18.0
dark,3.0,18.0
dark,3.0,18.0
dark,3.0,18.0
dark,3.0,18.0
dark,3.0,18.0
dark,3.0,18.0
dark,3.0,18.0
dark,3.0,18.0
dark,3.0,18.0
dark,3.0,18.0
dark,3.0,18.0
dark,3.0,18.0
dark,3.0,18.0
dark,3.0,18.0
dark,3.0,18.0
dark,3.0,18.0
dark,3.0,18.0
dark,3.0,18.0
dark,3.0,18.0
dark,3.0,18.0
dark,3.0,18.0
dark,3.0,18.0
dark,3.0,18.0
dark,3.0,18.0
dark,3.0,18.0
dark,3.0,18.0
dark,3.0,18.0
dark,3.0,18.0
dark,3.0,18.0
dark,3.0,18.0
dark,3.0,18.0
dark,3.0,18.0
dark,3.0,18.0
dark,3.0,18.0
dark,3.0,18.0
dark,3.0,18.0
dark,3.0,18.0
dark,3.0,18.0
dark,3.0,18.0
dark,3.0,18.0
dark,3.0,18.0
dark,3.0,18.0
dark,3.0,18.0
dark,3.0,18.0
dark,3.0,18.0
dark,3.0,18.0
dark,3.0,18.0
dark,3.0,18.0
dark,3.0,18.0
dark,3.0,18.0
dark,3.0,18.0
dark,3.0,18.0
dark,3.0,18.0
dark,3.0,18.0
dark,3.0,18.0
dark,3.0,18.0
dark,3.0,18.0
dark,3.0,18.0
dark,3.0,18.0
dark,3.0,18.0
dark,3.0,18.0
dark,3.0,18.0
dark,3.0,18.0
dark,3.0,18.0
dark,3.0,18.0
dark,3.0,18.0
dark,3.0,18.0
dark,3.0,18.0
dark,3.0,18.0
dark,3.0,18.0
dark,3.0,18.0
dark,3.0,18.0
dark,3.0,18.0
dark,3.0,18.0
dark,3.0,18.0
dark,3.0,18.0
dark,3.0,18.0
dark,3.0,18.0
dark,3.0,18.0
dark,3.0,18.0
dark,3.0,18.0
dark,3.0,18.0
dark,3.0,18.0
dark,3.0,18.0
dark,3.0,18.0
dark,3.0,18.0
dark,3.0,18.0
dark,3.0,18.0
dark,3.0,18.0
dark,3.0,18.0
dark,3.0,18.0
dark,3.0,18.0
dark,3.0,18.0
dark,3.0,18.0
dark,3.0,18.0
dark,3.0,18.0
dark,3.0,18.0
dark,3.0,18.0
dark,3.0,18.0
dark,3.0,18.0
